name,breed,mixed,sex,neut,age,SRA,how_long,how_often,where_num,other pet,o_age,origin_num,kept_num,how_long_r,how_often_r,relationship,feelings_home,feelings_known,feelings_strange,deal_home,deal_known,deal_strange,safe_strange,safe_known,safe_home,greet_short,greet_long,whine,bark,howl,drool,pee,poo,destruct,tremble,aroused,owner_feeling,home_behav,elimin_greet,Clusters
Larry,Bloodhound,0,1,0,26,0,3,4,2,3,45,2,1,3,4,6,1,5,5,1,2,4,1,1,3,3,5,0,0,1,0,0,0,0,0,1,0.440105799,-1.262937641,0.253223051,1
rókavári velúr,Mixed,1,1,1,17,0,3,4,3,0,31,3,3,3,4,6,1,2,3,1,2,2,2,1,3,4,4,1,0,0,0,0,0,0,0,1,-1.098743742,-0.675756765,-0.141508615,4
Chili,Border collie,0,1,1,63,0,3,4,2,3,32,2,1,3,4,6,1,2,3,1,2,3,1,1,3,1,3,1,0,0,0,0,0,0,0,1,-0.753597692,-1.345244779,1.224356787,2
Scott,Border collie,0,1,0,25,0,3,4,2,3,32,2,1,3,4,7,1,3,3,1,3,3,1,1,3,4,5,0,0,0,0,0,0,0,0,1,-0.160952941,-1.059310805,-0.348727554,1
Foltos,Beagle,0,2,1,73,0,3,4,2,1,30,2,1,3,4,6,2,2,5,3,5,5,0,1,1,4,5,1,1,1,0,0,0,0,1,2,1.064717594,0.273010256,-0.142474925,1
Koda,Mixed,1,1,1,108,0,3,3,1,1,32,3,3,3,3,5,2,3,5,2,3,4,1,1,2,4,4,1,1,0,0,1,1,0,0,2,0.388090331,-0.190832542,1.941131971,2
Chandler,Mixed,1,1,1,46,1,3,3,1,1,32,4,3,3,3,6,3,4,5,3,4,5,0,0,1,5,5,1,1,0,0,1,1,1,0,1,1.637476061,0.218199,0.943782631,1
Panna,Shetland Sheepdog,0,2,0,44,1,3,3,3,2,31,5,3,3,3,6,1,1,1,1,4,4,2,2,3,4,4,2,2,0,0,0,0,1,0,1,-1.577520718,0.638472703,-0.374312285,4
Félix,Hungarian Greyhound,0,1,0,75,0,3,4,2,1,57,2,2,3,4,6,1,3,5,1,4,5,0,0,3,5,5,2,1,0,0,0,0,0,0,0,1.070408226,-0.774943737,-0.610342089,1
Guszti,Havanese,0,1,0,61,0,2,2,1,1,45,2,3,2,2,6,1,3,3,1,3,4,1,1,3,4,4,0,0,0,0,0,0,0,0,0,-0.068280089,-1.290213216,-0.014898902,2
Wicca,Puli,0,2,1,40,0,2,3,3,3,34,2,3,2,3,6,1,2,2,2,2,2,2,2,2,5,5,0,0,0,0,0,0,0,0,0,-1.30701312,-0.327067469,-1.125671412,4
Lutri,Vizsla,0,2,0,87,1,2,4,2,0,24,3,2,2,4,5,3,4,5,4,4,5,2,2,2,4,5,0,3,0,0,0,0,0,1,1,0.408521141,0.49599477,-0.442889037,1
